day2,뜻
size,크기
estimate,"견적(서), 추정(액)"
procedure,"절차, 방법"
transaction,"거래, 처리, 매매"
challenge,도전
objection,반대
fee,"수수료, 요금"
composition,구성(요소)
discretion,"재량(권), 신중함"
retention,"유지, 보유"
reminder,"상기시켜주는 메모, 독촉장"
development,"개발, 발달, 주택단지"
billing,"청구서 발송, 거래총액"
candidate,"후보자, 지원자"
recognition,인정
permission,"허가, 승인"
performance,"공연, 수행"
process,"절차, 과정"
feasibility,"실행가능성, 실현가능성"
